30/01/2008,7604.290039,7667.069824,7507.52002,7543.5,7543.47168,4061000
31/01/2008,7528.180176,7579.430176,7400.740234,7521.129883,7521.101563,4342600
01/02/2008,7613.580078,7706.029785,7583.649902,7673.990234,7673.961426,4123200
12/02/2008,7568.299805,7619.97998,7530.370117,7553.299805,7553.270996,3811000
13/02/2008,7644.799805,7655.890137,7533.600098,7550.549805,7550.520996,3561200
14/02/2008,7711.450195,7865.279785,7707,7865.279785,7865.25,4326600
15/02/2008,7766.490234,7888.149902,7761.930176,7876.370117,7876.340332,3882600
18/02/2008,7925.299805,7988.02002,7872.709961,7890.899902,7890.869629,4036800
19/02/2008,7985.470215,8024.410156,7932.790039,8024.410156,8024.379395,4502800
20/02/2008,8000.120117,8040.830078,7855.47998,7894.470215,7894.439941,4148400
21/02/2008,7982.350098,8085.930176,7972.129883,8085.930176,8085.899414,4585400
22/02/2008,8013.350098,8108.709961,7986.970215,8108.709961,8108.679199,4923400
25/02/2008,8228.919922,8307.75,8228.919922,8286.30957,8286.277344,6325000
26/02/2008,8379.549805,8386.540039,8258.870117,8307.669922,8307.637695,6403800
27/02/2008,8401.120117,8462.080078,8362.94043,8462.080078,8462.047852,6403600
29/02/2008,8367.450195,8473.709961,8367.450195,8412.759766,8412.727539,5924600
03/03/2008,8213.700195,8265.849609,8147.27002,8262.870117,8262.837891,5371400
04/03/2008,8279.019531,8471.070313,8279.019531,8470.110352,8470.078125,6154200
05/03/2008,8493.969727,8559.589844,8439.349609,8483.950195,8483.917969,6387800
06/03/2008,8559.080078,8658.639648,8526.370117,8658.639648,8658.607422,6635600
07/03/2008,8537.240234,8624.650391,8513.240234,8531.379883,8531.347656,6186600
10/03/2008,8500.80957,8507.290039,8286.570313,8299.370117,8299.337891,5125200
11/03/2008,8206.740234,8381.599609,8206.740234,8381.599609,8381.567383,4787000
12/03/2008,8577.849609,8577.849609,8424.099609,8435.299805,8435.267578,5224600
13/03/2008,8408.459961,8447.980469,8198.769531,8210.990234,8210.958008,4257000
14/03/2008,8293.120117,8315.230469,8120.490234,8161.390137,8161.359375,4559200
17/03/2008,8041.310059,8053.080078,7900.799805,8005.459961,8005.429199,4595400
18/03/2008,8039.290039,8082.569824,7955.47998,8057.819824,8057.789063,4114800
19/03/2008,8215.799805,8233.469727,8142.72998,8179.350098,8179.319336,4831800
20/03/2008,8151.529785,8343.379883,8124.669922,8337.620117,8337.587891,5514200
21/03/2008,8453.55957,8539.910156,8412.519531,8524.990234,8524.958008,6460000
24/03/2008,9049.230469,9049.230469,8781.019531,8865.349609,8865.317383,8697000
25/03/2008,8853.780273,8899.259766,8761.009766,8795.089844,8795.057617,6914000
26/03/2008,8776.19043,8842.519531,8712.389648,8768.019531,8767.987305,6933600
27/03/2008,8698.160156,8708.919922,8559.099609,8605.950195,8605.917969,6124400
